"UF","Cidade","Bairro","Link_Cidade","Link_Bairro"
"MG","Belo Horizonte","Cachoeirinha","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/cachoeirinha-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Caiçara-Adelaide","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/caicara-adelaide-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Caiçaras","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/caicaras-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Calafate","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/calafate-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","California","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/california-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Camargos","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/camargos-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Campo Alegre","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/campo-alegre-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Camponesa III","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/camponesa-iii-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Canaã","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/canaa-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Canadá","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/canada-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Candelária","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/candelaria-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Carlos Prates","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/carlos-prates-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Carmo Sion","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/carmo-sion-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Casa Branca","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/casa-branca-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Castelo","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/castelo-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","CDI Jatobá","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/cdi-jatoba-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Cenáculo","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/cenaculo-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Centro","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/centro-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Céu Azul","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/ceu-azul-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Cidade Jardim","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/cidade-jardim-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Cidade Nova","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/cidade-nova-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Cinquentenário","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/cinquentenario-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Colégio Batista","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/colegio-batista-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Concórdia","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/concordia-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Copacabana","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/copacabana-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Coqueiros","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/coqueiros-belo-horizonte-mg-brasil"
